id,quantity,price,status,payment_id,customer_link,product_link
1,2,82.0,Pending,7d8c7a96-4e71-49ed-b7a3-f31d206291d3,1,1
2,1,120.0,Out for delivery,f8f04147-89ce-4e27-800d-ba88b6eeb9e7,2,2
3,1,550.0,Delivered,60ad7a43-b1fb-474d-886d-90ffd0009995,3,3
4,1,189.0,Canceled,9eaef7f7-654c-446c-936c-8d6244aa799f,4,4
5,1,250.0,Pending,e567836b-7ac7-4977-a4d4-d0a53a136f91,1,2
6,1,189.0,Out for delivery,5b360eda-e79b-460b-b462-702f905e331d,2,3
7,3,75.0,Delivered,3a2f5b8e-8c9e-4b8e-9b2e-1f3d5e6a7b8c,3,4
8,2,99.0,Pending,4b3e5d6f-7a8b-4c9e-8d2e-3f4d5e6a7b8c,4,1
9,1,150.0,Out for delivery,5c4e6f7a-8b9c-4d2e-9e3f-6a7b8c9d0e1f,1,3
10,4,200.0,Canceled,6d5e7f8a-9b0c-4e3f-0a1b-7c8d9e0f1g2h,2,4
11,2,82.0,Pending,7d8c7a96-4e71-49ed-b7a3-f31d206291d4,3,1
12,1,120.0,Out for delivery,f8f04147-89ce-4e27-800d-ba88b6eeb9e8,4,2
13,1,550.0,Canceled,60ad7a43-b1fb-474d-886d-90ffd0009996,1,4
14,1,189.0,Pending,9eaef7f7-654c-446c-936c-8d6244aa799g,2,1
15,1,250.0,Delivered,e567836b-7ac7-4977-a4d4-d0a53a136f92,3,2
16,1,189.0,Out for delivery,5b360eda-e79b-460b-b462-702f905e331e,4,3
17,3,75.0,Delivered,3a2f5b8e-8c9e-4b8e-9b2e-1f3d5e6a7b8d,5,1
18,2,99.0,Pending,4b3e5d6f-7a8b-4c9e-8d2e-3f4d5e6a7b8d,5,2
19,1,150.0,Out for delivery,5c4e6f7a-8b9c-4d2e-9e3f-6a7b8c9d0e1g,5,3
20,4,200.0,Canceled,6d5e7f8a-9b0c-4e3f-0a1b-7c8d9e0f1g2i,5,4
21,2,82.0,Pending,7d8c7a96-4e71-49ed-b7a3-f31d206291d5,6,1
22,1,120.0,Out for delivery,f8f04147-89ce-4e27-800d-ba88b6eeb9e9,6,2
23,1,550.0,Canceled,60ad7a43-b1fb-474d-886d-90ffd0009997,6,3
24,1,189.0,Pending,9eaef7f7-654c-446c-936c-8d6244aa799h,6,4
25,1,250.0,Delivered,e567836b-7ac7-4977-a4d4-d0a53a136f93,7,1
26,1,189.0,Out for delivery,5b360eda-e79b-460b-b462-702f905e331f,7,2
27,3,75.0,Delivered,3a2f5b8e-8c9e-4b8e-9b2e-1f3d5e6a7b8e,7,3
28,2,99.0,Pending,4b3e5d6f-7a8b-4c9e-8d2e-3f4d5e6a7b8e,7,4
29,1,150.0,Out for delivery,5c4e6f7a-8b9c-4d2e-9e3f-6a7b8c9d0e1h,8,1
30,4,200.0,Canceled,6d5e7f8a-9b0c-4e3f-0a1b-7c8d9e0f1g2j,8,2
31,2,82.0,Pending,7d8c7a96-4e71-49ed-b7a3-f31d206291d6,8,3
32,1,120.0,Out for delivery,f8f04147-89ce-4e27-800d-ba88b6eeb9ea,8,4
33,1,550.0,Canceled,60ad7a43-b1fb-474d-886d-90ffd0009998,9,1
34,1,189.0,Pending,9eaef7f7-654c-446c-936c-8d6244aa799i,9,2
35,1,250.0,Delivered,e567836b-7ac7-4977-a4d4-d0a53a136f94,9,3
36,1,189.0,Out for delivery,5b360eda-e79b-460b-b462-702f905e331g,9,4
37,3,75.0,Delivered,3a2f5b8e-8c9e-4b8e-9b2e-1f3d5e6a7b8f,10,1
38,2,99.0,Pending,4b3e5d6f-7a8b-4c9e-8d2e-3f4d5e6a7b8f,10,2
39,1,150.0,Out for delivery,5c4e6f7a-8b9c-4d2e-9e3f-6a7b8c9d0e1i,10,3
40,4,200.0,Canceled,6d5e7f8a-9b0c-4e3f-0a1b-7c8d9e0f1g2k,10,4